姓名,关系,条目人数,性别,年龄,出生地,学历,毕业院校,公司名称,公司总部地,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
张一鸣,未知,1,先生,41,中国-福建-龙岩,本科,南开,字节跳动,北京,社交媒体,1,4,3500,43%
钟睒睒,未知,1,先生,70,中国-浙江-绍兴,,,养生堂,浙江杭州,饮料、医疗保健,2,-1,3400,-24%
马化腾,未知,1,先生,53,中国-海南,本科,深圳大学,腾讯,广东深圳,互联网服务,3,-1,3150,13%
黄峥,未知,1,先生,44,中国-浙江-杭州,硕士,浙大、威斯康星大学,拼多多,上海长宁,购物网站,4,-1,2450,-9%
何享健,家族,1,先生,82,中国-广东-佛山,,,美的,广东佛山,家电制造,5,3,2350,18%
曾毓群,未知,1,先生,56,中国-福建-宁德,博士,上交大、中科院,宁德时代,福建宁德,锂电池,6,-2,2000,-20%
丁磊,未知,1,先生,53,中国-浙江-宁波,本科,电子科技,网易,浙江杭州,互联网技术,6,0,2000,-17%
李嘉诚,父子,2,先生,96,中国-香港,,,长江实业,香港,投资,6,1,2000,-5%
李泽钜,父子,2,先生,60,中国-广东-潮州,,,长江实业,香港,投资,6,1,2000,-5%
李兆基,家族,1,先生,96,中国-广东-佛山,,,恒基兆业,香港,房地产,9,2,1750,9%
马云,家族,1,先生,60,中国-浙江-杭州,本科,杭州师范学院,阿里系,浙江杭州,电子商务、金融科技,10,0,1650,-3%
李书福,家族,1,先生,61,中国-浙江-台州,博士,哈工大、燕山、哈工大,吉利,浙江杭州,汽车制造,11,-2,1450,-17%
严昊,未知,1,先生,38,中国-江苏-淮安,本科,南京师范大学,太平洋建设,新疆乌鲁木齐,基础建设,11,1,1450,-3%
张刚,家族,1,先生,43,中国-山东-聊城,硕士,西北工业、澳大利亚中央昆士兰大学,信发铝电,山东聊城,电解铝、氧化铝,11,5,1450,7%
李蔡美灵,家族,1,先生,未知,中国-香港,,,李锦记,香港,调味品,14,0,1400,0%
吕向阳,夫妇,2,先生,61,中国-安徽-芜湖,,,融捷,广东广州,投资,14,0,1400,0%
张长虹,夫妇,2,女士,63,,,,融捷,广东广州,投资,14,0,1400,0%
秦英林,夫妇,2,先生,59,中国-河南-南阳,本科,河南农业大学,牧原,河南南阳,畜牧,16,-3,1350,-7%
钱瑛,夫妇,2,女士,58,,,,牧原,河南南阳,畜牧,16,-3,1350,-7%
王传福,未知,1,先生,58,中国-安徽-芜湖,本科,中南,比亚迪,广东深圳,汽车、充电电池,16,0,1350,0%
赵长鹏,未知,1,先生,47,中国-江苏-连云港,本科,麦吉尔大学,币安,美国,虚拟货币交易所,16,81,1350,200%
雷军,未知,1,先生,55,中国-湖北-仙桃,本科,武大,小米,北京,智能硬件与技术、投资,19,15,1300,38%
陈建华,夫妇,2,先生,53,中国-江苏-苏州,硕士,南京师范,恒力,江苏苏州,化纤、石化、房地产,20,0,1250,0%
范红卫,夫妇,2,女士,57,,,,恒力,江苏苏州,化纤、石化、房地产,20,0,1250,0%
张志东,未知,1,先生,52,中国-广东-东莞,硕士,深圳、华南理工,腾讯,广东深圳,互联网服务,20,6,1250,14%
刘永行,父子,2,先生,76,中国-四川-成都,博士,西华、恒生国际、美国波士顿,东方希望,上海浦东,氧化铝、重化工、饲料,22,-4,1200,-8%
刘相宇,父子,2,先生,49,,,,东方希望,上海浦东,氧化铝、重化工、饲料,22,-4,1200,-8%
王卫,未知,1,先生,54,中国-上海,,,顺丰,广东深圳,快递,23,-3,1100,-12%
魏建军,夫妇,2,先生,60,中国-河北-保定,,,长城,河北保定,汽车制造,23,1,1100,-8%
韩雪娟,夫妇,2,女士,58,,,,长城,河北保定,汽车制造,23,1,1100,-8%
郑淑良,家族,1,先生,78,中国-山东,,,魏桥创业,山东滨州,铝业、纺织,23,15,1100,31%
李西廷,未知,1,先生,73,中国-安徽-宿州,本科,中科大,迈瑞,广东深圳,医疗器械,26,1,1000,0%
党彦宝,未知,1,先生,51,,本科,宁夏,宝丰,宁夏银川,煤化工,27,4,950,0%
徐航,未知,1,先生,62,中国-广东-广州,本科,清华,迈瑞、鹏瑞,广东深圳,医疗器械、房地产,27,0,950,-5%
郑家纯,家族,1,先生,76,中国-香港,,,周大福,香港,珠宝,27,-9,950,-27%
郭台铭,未知,1,先生,74,中国-台湾-新北,,,鸿海,台湾台北,电子制造,30,36,930,55%
吴光正,家族,1,先生,78,中国-上海,,,会德丰,香港,房地产,30,-3,930,-7%
刘銮雄,家族,1,先生,73,中国-香港,,,华人置业,香港,房地产,32,3,910,-1%
黄世霖,未知,1,先生,57,中国-福建-宁德,本科,合肥工业大学,宁德时代,福建宁德,锂电池,33,-8,890,-23%
王兴,未知,1,先生,45,中国-福建-龙岩,本科,清华,美团,北京,生活服务,34,-14,885,-29%
庞康,未知,1,先生,68,中国-广东-佛山,本科,,海天味业,广东佛山,调味品,35,5,870,9%
杜纪川,未知,1,先生,83,中国-重庆,,,金士顿科技,美国洛杉矶,半导体,36,4,850,6%
孙大卫,未知,1,先生,73,中国-台湾-台北,,,金士顿科技,美国洛杉矶,半导体,36,4,850,6%
林立,未知,1,先生,61,中国-广东-河源,硕士,湖北工,立业,广东深圳,投资,38,-2,810,-10%
宗馥莉,未知,1,女士,未知,,,,娃哈哈,浙江杭州,饮料,38,-7,810,-15%
吕志和,家族,1,先生,95,中国-香港,,,银河,香港,博彩,40,-20,800,-36%
严彬,未知,1,先生,70,中国-河南-新乡,,,华彬,北京,饮料、地产,40,-13,800,-20%
钟慧娟,未知,1,女士,63,,,,翰森,江苏连云港,医药,42,69,770,83%
李泽楷,未知,1,先生,58,中国-香港,,,电讯盈科,香港,电信,43,1,750,-3%
蔡浩宇,未知,1,先生,37,中国-山东-济南,,,米哈游,上海,游戏,44,11,730,9%
张聪渊,家族,1,先生,76,中国-台湾-桃园,,,华利实业,广东中山,鞋业,45,26,720,24%
刘汉元,夫妇,2,先生,60,中国-四川-眉山,,北大光华管理学院,通威,四川成都,新能源、农业,46,-15,700,-26%
管亚梅,夫妇,2,女士,未知,,,,通威,四川成都,新能源、农业,46,-15,700,-26%
林百里,家族,1,先生,75,中国-上海,,,广达电脑,台湾桃园,消费电子产品,47,12,695,10%
刘永好,家族,1,先生,73,中国-四川-成都,,四川工程职业技术学院,新希望,四川成都,农业、化工、金融,48,-11,690,-20%
蔡崇信,未知,1,先生,60,中国-台湾,,,阿里系,浙江杭州,电子商务、金融科技,49,37,680,42%
陈东升,家族,1,先生,67,中国-湖北-荆门,博士,武大、武大,泰康,北京,保险,50,0,670,-4%
项光达,未知,1,先生,66,中国-浙江-温州,,,青山控股,浙江温州,钢铁,50,94,670,97%
于泳,未知,1,先生,未知,,,,鸿商产业,上海浦东,钼矿,50,9,670,6%
张国华,家族,1,先生,69,中国-台湾-台北,,,长荣集团,台湾台北,物流、钢铁,50,35,670,38%
邝肖卿,未知,1,女士,95,中国-香港,,,新鸿基,香港,房地产,54,-8,665,-8%
孙飘扬,未知,1,先生,66,中国-江苏-镇江,硕士,中国药科、南大,恒瑞,江苏连云港,医药,55,9,650,7%
周群飞,夫妇,2,女士,54,中国-湖南-湘潭,,,蓝思科技,湖南长沙,电子器件制造,56,36,635,40%
郑俊龙,夫妇,2,先生,52,,,,蓝思科技,湖南长沙,电子器件制造,56,36,635,40%
王来胜,父女,2,先生,60,中国-广东-汕头,,,立讯精密,广东深圳,消费电子,57,19,630,17%
王雅媛,父女,2,女士,32,中国-广东-河源,,,立讯精密,广东深圳,消费电子,57,19,630,17%
徐浩宇,家族,1,先生,52,中国-江苏-泰州,,,扬子江药业,江苏泰州,医药,57,9,630,5%
